score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
apache2,sex,Male,insurance_cat,Other,Male x Other,1.0,1.0,0.022020202020202023,,,22,0.045454545454545456,1.0,1.0
apache2,sex,Male,insurance_cat,Medicare,Male x Medicare,1.0,1.0,0.010582010582010578,1.0714285714285714,-0.14285714285714285,21,0.19047619047619047,1.0,1.0
apache2,sex,Female,diag_type,Medical,Female x Medical,1.0,1.0,0.003999999999999999,1.0714285714285714,-0.09523809523809523,20,0.05,1.0,1.0
apache2,sex,Male,diag_type,Surgical,Male x Surgical,1.0,1.0,0.011400966183574876,0.6392931392931394,-0.0498960498960499,23,0.043478260869565216,1.0,1.0
apache2,insurance_cat,Other,diag_type,Surgical,Other x Surgical,,,0.0030769230769230765,,,26,0.0,,
news2,race_cat,White,sex,Female,White x Female,0.9090909090909092,0.25,0.03872282608695653,0.41509433962264164,0.01650943396226414,23,0.043478260869565216,0.7573863636363636,0.9772727272727273
news2,race_cat,White,sex,Male,White x Male,0.9655172413793104,0.7777777777777777,0.045166015625,1.6755833807626637,-0.05463858850313036,32,0.09375,0.8641129032258064,1.0
news2,race_cat,White,insurance_cat,Other,White x Other,1.0,1.0,0.020302854938271605,2.301369863013699,-0.10273972602739728,36,0.027777777777777776,0.9999999999999999,1.0
news2,race_cat,White,diag_type,Surgical,White x Surgical,,,0.003455528846153846,0.0,0.0,26,0.0,,
news2,sex,Female,insurance_cat,Other,Female x Other,0.846153846153846,0.14285714285714285,0.03345228909465021,0.4571428571428572,0.009523809523809525,27,0.037037037037037035,0.7136538461538461,0.9567307692307692
news2,sex,Male,insurance_cat,Other,Male x Other,1.0,1.0,0.029296875,4.114285714285714,-0.19999999999999996,22,0.045454545454545456,1.0,1.0
news2,sex,Male,insurance_cat,Medicare,Male x Medicare,0.8897058823529411,0.7071428571428571,0.08223792989417988,0.9158163265306121,0.06863307823129255,21,0.19047619047619047,0.6930072028811525,1.0
news2,sex,Female,diag_type,Medical,Female x Medical,0.6842105263157895,0.1111111111111111,0.04928385416666666,0.022641509433962276,0.037264150943396225,20,0.05,0.5039473684210527,0.8421052631578947
news2,sex,Male,diag_type,Surgical,Male x Surgical,0.6818181818181818,0.1,0.04432744565217391,-0.2742857142857143,0.08,23,0.043478260869565216,0.5238095238095238,0.8409090909090908
news2,insurance_cat,Other,diag_type,Surgical,Other x Surgical,,,0.004523904914529914,0.0,0.0,26,0.0,,
