score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
news2,race_cat,ppg,0.020258890573968277,0.09416989386032071,0.07391100328635243,0.05343019087215603,0.09119215646667828
news2,race_cat,cal_gap,0.014617775628097244,0.0967193341797389,0.08210155855164165,0.06220631491717681,0.12213222303094463
news2,race_cat,auroc_gap,0.046985057828544785,0.03845926165672098,0.008525796171823807,0.00089672984419861,0.058427908161731275
news2,sex,eod,0.0018612913673434761,0.002943162207408423,0.0010818708400649468,9.891707743285017e-05,0.00523216867791058
news2,sex,ppg,0.0033325693427276454,0.022768459038017608,0.019435889695289962,0.011999133771695035,0.02639610791263659
news2,sex,cal_gap,0.0016968114863602545,0.02689029492906607,0.025193483442705816,0.012502007825774514,0.037024164728545646
news2,sex,auroc_gap,0.0040047271052491284,0.006539147595103989,0.0025344204898548606,0.00020633591152486035,0.00951480805220493
news2,age_group,eod,0.16098233862257005,0.28180519969552964,0.12082286107295959,0.09159152943879022,0.13051435843438228
news2,age_group,ppg,0.10100261150955384,0.11050629528812606,0.00950368377857222,0.0006353836035916833,0.027468408492257786
news2,age_group,cal_gap,0.05650579681878996,0.18043234175487277,0.12392654493608281,0.09331304563070628,0.15329119130549348
news2,age_group,auroc_gap,0.09423868708437078,0.06005880998121804,0.034179877103152734,0.011551045073909656,0.0660505894716937
news2,diag_type,eod,0.011633468016880255,0.011705176669080553,7.170865220029743e-05,0.0002688336818489873,0.012424065183313269
news2,diag_type,ppg,0.01954083253730364,0.006589582301916641,0.012951250235386999,0.0008494646014564148,0.022035298773488067
news2,diag_type,cal_gap,0.012406026288475211,0.019474283976383108,0.007068257687907897,0.0005741198856043057,0.037150903837998656
news2,diag_type,auroc_gap,0.01570628027008325,0.006454141190476492,0.009252139079606758,0.00038621149907435716,0.03567709188087397
