score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
qsofa,race_cat,ppg,0.02772632026481217,0.02689313991601394,0.0008331803487982292,0.0005581299299196874,0.04185325725359158
qsofa,race_cat,cal_gap,0.020280786335608616,0.05982580370769652,0.039545017372087904,0.020014868330979926,0.06819794547753025
qsofa,race_cat,auroc_gap,0.021871531727044813,0.01786072134556216,0.0040108103814826546,0.0005884936840254457,0.033634329322239157
qsofa,race_cat,ece_gap,0.018001534400939267,0.0409981823298573,0.022996647928918035,0.002823532113709904,0.049974657774597704
qsofa,sex,eod,0.03744543109144988,0.031605875254224536,0.005839555837225341,0.00030493647779497173,0.019295017165193256
qsofa,sex,ppg,0.0016760139175232835,0.014914343754463655,0.013238329836940371,0.0025382838550292892,0.020244425722851626
qsofa,sex,cal_gap,0.001744435571205139,0.032998477795889554,0.03125404222468441,0.023909405047582263,0.03632849691688405
qsofa,sex,auroc_gap,0.004330988513732592,0.024432317192768616,0.020101328679036023,0.010341792179937848,0.027238369364777287
qsofa,sex,ece_gap,0.00973349647353236,0.034281895953088004,0.024548399479555644,0.017487361426575868,0.03149506919455862
qsofa,age_group,eod,0.5236077209800141,0.8723782839506157,0.3487705629706016,0.3023729105433507,0.3703878568105266
qsofa,age_group,ppg,0.0661905506737389,0.06460444224327089,0.0015861084304680112,0.0006344664302977242,0.03176765755321177
qsofa,age_group,cal_gap,0.024691490269825117,0.13401559366790264,0.10932410339807752,0.09069576124401972,0.12237463963332551
qsofa,age_group,auroc_gap,0.1017518021986501,0.052434108576502436,0.04931769362214766,0.023558924603182017,0.06825925628099057
qsofa,age_group,ece_gap,0.1669686565274163,0.1487875505884353,0.018181105938981007,0.0036644159260628036,0.03729739374308593
qsofa,diag_type,eod,0.09573272186729526,0.1163636092889608,0.02063088742166555,0.0013791208366241015,0.04740812221408293
qsofa,diag_type,ppg,0.030676629742416472,0.02349293028587285,0.007183699456543624,0.0006418341817465035,0.026771688851572224
qsofa,diag_type,cal_gap,0.011213806370366407,0.027013788947746486,0.01579998257738008,0.006401537367202943,0.030189981596508465
qsofa,diag_type,auroc_gap,0.033934389247053165,0.024044279019377446,0.009890110227675719,0.0006273042044714239,0.035690184126118664
qsofa,diag_type,ece_gap,0.02924131987507908,0.017562855272156175,0.011678464602922906,0.0014073305088398542,0.018665019728533273
apache2,race_cat,eod,0.08338987775695206,0.09702186427386542,0.013631986516913358,0.0011615749188121417,0.07613107672974419
apache2,race_cat,ppg,0.02772632026481217,0.027549502070524645,0.00017681819428752577,0.0003900734064910323,0.03915909333993451
apache2,race_cat,cal_gap,0.020280786335608616,0.0633257923990167,0.04304500606340808,0.02052148074560825,0.07126273925071142
apache2,race_cat,auroc_gap,0.021871531727044813,0.04355132940006823,0.021679797673023415,0.00098612350038165,0.04821880794747753
apache2,race_cat,ece_gap,0.018001534400939267,0.04388053049913071,0.025878996098191442,0.005110457039677044,0.05753443195237622
apache2,sex,eod,0.03744543109144988,0.033958423340995886,0.003487007750453991,0.0001416366972394209,0.014342311370714955
apache2,sex,ppg,0.0016760139175232835,0.0028915893833543205,0.001215575465831037,7.941996623175644e-05,0.00849075186119089
apache2,sex,cal_gap,0.001744435571205139,0.008910229317469005,0.007165793746263865,0.0016771638717368636,0.011604122470600527
apache2,sex,auroc_gap,0.004330988513732592,0.005927720915675949,0.001596732401943357,0.0001630743253673711,0.008892659025016481
apache2,sex,ece_gap,0.00973349647353236,0.011111027140362828,0.0013775306668304677,0.000130582882230218,0.007835215400684048
apache2,age_group,eod,0.5236077209800141,0.5344210270188507,0.010813306038836679,0.0009809001734503305,0.0451183402703352
apache2,age_group,ppg,0.0661905506737389,0.12358450404427412,0.057393953370535225,0.037190767469448396,0.08986326333755214
apache2,age_group,cal_gap,0.024691490269825117,0.214673765866422,0.1899822755965969,0.17439541826167748,0.20571996373205742
apache2,age_group,auroc_gap,0.1017518021986501,0.11134717126701421,0.009595369068364112,0.00045679350544873,0.030928054973773527
apache2,age_group,ece_gap,0.1669686565274163,0.22486408177478223,0.057895425247365934,0.047361723548682975,0.06946906132591932
apache2,diag_type,eod,0.09573272186729526,0.14817733397724694,0.05244461210995169,0.02090478934383889,0.07152405798959151
apache2,diag_type,ppg,0.030676629742416472,0.01572618566606787,0.014950444076348601,0.000744875882419542,0.03338504448704934
apache2,diag_type,cal_gap,0.011213806370366407,0.06381793930794152,0.05260413293757511,0.040310055926698875,0.061742753572273275
apache2,diag_type,auroc_gap,0.033934389247053165,0.038620097147575194,0.004685707900522029,0.00024358298033060337,0.028022746903002133
apache2,diag_type,ece_gap,0.02924131987507908,0.06562181890106827,0.036380499025989194,0.027970902701399063,0.046123629552259966
news2,race_cat,eod,0.08338987775695206,0.0760364076769389,0.007353470080013164,0.0007811305920990442,0.05810849878517666
news2,race_cat,ppg,0.02772632026481217,0.06828983973355907,0.040563519468746895,0.006726929057224341,0.07436362384260059
news2,race_cat,cal_gap,0.020280786335608616,0.08334283081751677,0.06306204448190815,0.04300982697095749,0.08072940821091602
news2,race_cat,auroc_gap,0.021871531727044813,0.01765650713950051,0.004215024587544303,0.0004191124147698511,0.029163525097821583
news2,race_cat,ece_gap,0.018001534400939267,0.07562390066236574,0.05762236626142647,0.04021258879241409,0.07136164234799676
news2,sex,eod,0.03744543109144988,0.03724396181475828,0.00020146927669159598,0.00022513996811192525,0.011515974396228075
news2,sex,ppg,0.0016760139175232835,0.0021684944873006096,0.000492480569777326,8.096683862632572e-05,0.00784672599550313
news2,sex,cal_gap,0.001744435571205139,0.0064660024373374035,0.004721566866132265,0.0007305239026456228,0.01012422035701238
news2,sex,auroc_gap,0.004330988513732592,0.008445949726519353,0.004114961212786761,0.00019863044518418917,0.010739651778276854
news2,sex,ece_gap,0.00973349647353236,0.01082771993449888,0.0010942234609665202,0.00010677508118799516,0.007909086690173059
news2,age_group,eod,0.5236077209800141,0.8572906872229951,0.333682966242981,0.2871255742162545,0.3567663041595211
news2,age_group,ppg,0.0661905506737389,0.12627519103508367,0.06008464036134477,0.03644647925849035,0.09048094102649354
news2,age_group,cal_gap,0.024691490269825117,0.17094339327089395,0.14625190300106883,0.12840609701159572,0.15965847437554218
news2,age_group,auroc_gap,0.1017518021986501,0.015857082858686145,0.08589471933996395,0.06283703947855798,0.10633006818424501
news2,age_group,ece_gap,0.1669686565274163,0.13926906392554358,0.027699592601872713,0.012106479702955208,0.04318955339007006
news2,diag_type,eod,0.09573272186729526,0.14436844737367355,0.04863572550637829,0.012056774413210618,0.07637447469125663
news2,diag_type,ppg,0.030676629742416472,0.029973180224575735,0.0007034495178407374,0.000544901518522347,0.025730027199725784
news2,diag_type,cal_gap,0.011213806370366407,0.03689003142218625,0.02567622505181984,0.014277783138107507,0.03649845234994675
news2,diag_type,auroc_gap,0.033934389247053165,0.03777733240215986,0.003842943155106693,0.0005042629808453298,0.02822616449776025
news2,diag_type,ece_gap,0.02924131987507908,0.04073886578155106,0.011497545906471979,0.003712952250346702,0.019711513648913
