score,hospitalid,n,race_auroc_gap,worst_race,best_race,n_races_with_data
news2,138,1212,0.07350871697352979,White,Black,2
news2,174,2130,0.2025862068965517,Asian,Other,4
news2,169,273,0.7541391941391941,Other,White,3
news2,98,505,0.10054347826086962,Black,Other,4
news2,105,495,0.21094244149272612,Other,White,3
news2,76,1244,0.31079545454545443,Asian,Other,5
news2,116,988,0.16339561769054978,Hispanic,Other,4
news2,5,372,0.09257142857142864,Hispanic,Other,3
news2,119,294,0.12238349885408717,White,Black,3
news2,79,1472,0.26320422535211274,Hispanic,Black,5
news2,171,918,0.35,Asian,Hispanic,4
news2,161,2662,0.3043010752688172,Hispanic,Asian,5
news2,128,1006,0.140307010096685,White,Black,4
news2,147,820,0.12444761597693732,White,Other,3
news2,112,1242,0.21487527990418165,White,Asian,4
news2,32,862,0.019624419599218013,White,Other,4
news2,55,1819,0.10666666666666658,Hispanic,Asian,5
news2,17,286,0.15833333333333333,White,Other,2
news2,136,618,0.6000000000000001,Other,Hispanic,3
news2,109,594,0.2060399159663865,White,Hispanic,4
news2,10,696,0.09208805899982364,White,Black,2
news2,204,1141,0.650663544106167,Hispanic,Black,4
news2,117,217,0.2804385870923962,Black,White,2
news2,70,2637,0.1315402704291594,Other,Asian,4
news2,160,270,0.16559829059829057,Other,Asian,4
news2,62,1327,0.08702009702009694,Black,Asian,4
news2,16,257,0.06210472990988103,White,Black,2
news2,199,536,0.1745110553739121,White,Black,3
news2,54,959,0.25178343230015265,White,Black,3
news2,100,2062,0.16737689393939403,White,Other,4
news2,14,772,0.08250410509031214,White,Hispanic,3
news2,21,2314,0.15422942622781455,Hispanic,Other,4
news2,99,391,0.18179615570990137,White,Black,3
news2,71,156,0.25380324543610544,White,Black,2
news2,24,857,0.12464755639097747,Asian,Other,5
news2,200,340,0.2707811194653301,White,Hispanic,5
news2,189,582,0.13428571428571434,Asian,Other,5
news2,60,499,0.28333333333333344,Asian,Hispanic,5
news2,26,678,0.21368762816131237,Black,Other,5
news2,133,977,0.10955924036281184,White,Other,5
news2,27,801,0.095873298998299,Other,White,3
news2,8,373,0.0812423084162216,Black,White,2
news2,194,2196,0.24077249657728417,White,Asian,4
news2,176,2508,0.18938822157278068,Asian,White,4
news2,39,1291,0.1953640749865757,White,Black,3
news2,101,375,0.25676229508196713,White,Black,2
news2,19,3739,0.22042253521126742,Other,Hispanic,5
news2,94,173,0.2677228786251342,White,Other,3
news2,145,484,0.1668617932609937,Other,Black,3
news2,40,298,0.2563562753036437,White,Black,2
news2,185,1636,0.1582221789215108,White,Other,3
news2,159,684,0.28083758937691505,Black,Other,3
news2,166,669,0.062004830917874454,White,Black,2
news2,157,1277,0.23864118895966024,Other,Black,4
news2,64,494,0.13943167305236281,Asian,Black,4
news2,125,434,0.050183823529411864,White,Black,2
news2,92,422,0.00703262786596115,Other,Black,3
news2,13,966,0.06031719800559032,White,Other,4
news2,37,718,0.208768472906404,White,Asian,4
news2,139,641,0.02481010005762485,White,Black,2
news2,135,439,0.384375,Asian,Black,4
news2,51,107,0.09237759431257864,Other,White,2
news2,18,1402,0.23252351097178692,Black,Hispanic,4
news2,181,441,0.08256029684601107,Black,Hispanic,4
news2,196,2613,0.2443542865673486,White,Asian,4
news2,47,837,0.029962424637430485,White,Black,2
news2,188,2985,0.3343186936936936,Hispanic,Black,4
news2,2,1240,0.2572727272727273,Black,Hispanic,4
news2,49,440,0.08499630450849971,White,Black,2
news2,35,909,0.013597138564229394,Other,White,2
news2,146,706,0.148076869555537,Other,White,2
news2,30,503,0.45,Hispanic,Other,4
news2,195,204,0.16672522324696248,White,Black,2
