score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,age_group,80+,diag_type,Medical,80+ x Medical,0.7324877399262499,0.3218410042627653,0.1131421663409057,1.3728122787333203,0.030005990761758833,10116,0.14155792803479636,0.7170750381029324,0.7451329308154694
sofa,age_group,80+,diag_type,Surgical,80+ x Surgical,0.7599317334295681,0.34160504537766845,0.10711660388412522,1.6020667515923679,0.011560307608272619,754,0.13527851458885942,0.709904673482173,0.8051979465317776
sofa,age_group,50-59,diag_type,Cardiac,50-59 x Cardiac,0.8107886676386331,0.28231185728430674,0.04225173685981823,0.8333218945803504,-0.02645656025548887,3637,0.04976629089909266,0.7782177694390444,0.8449836157929894
sofa,age_group,50-59,diag_type,Medical,50-59 x Medical,0.8236260695564518,0.295789833791481,0.054008832432850276,0.964271628226568,-0.015394134981644547,11339,0.0675544580650851,0.8071016255438869,0.8382825140908761
sofa,age_group,50-59,diag_type,Surgical,50-59 x Surgical,0.7759161773638388,0.16140776448628327,0.04310389333069319,0.7091700782324981,-0.009169632902825908,942,0.04670912951167728,0.6972094951345638,0.8472772309953841
sofa,age_group,40-49,diag_type,Cardiac,40-49 x Cardiac,0.8511763412489006,0.25903556891396784,0.033703020657267206,0.6861992901709953,-0.01569857520727961,1576,0.03807106598984772,0.7923458048579375,0.9015506889350959
sofa,age_group,40-49,diag_type,Medical,40-49 x Medical,0.8434860684021501,0.27258802892417255,0.03963276892564424,0.8405387057373955,-0.021555286971009863,6166,0.04703211157963023,0.8164611217433289,0.8677082714577269
sofa,age_group,40-49,diag_type,Surgical,40-49 x Surgical,0.7155590717299577,0.20201360147138497,0.05232838470899267,0.5003568483041223,0.017362955947612835,419,0.057279236276849645,0.6114798788675251,0.8117016337636662
sofa,age_group,30-39,diag_type,Cardiac,30-39 x Cardiac,0.8715293169453959,0.3892101206724745,0.03684116761456995,0.8725102768061617,-0.030131672914004315,744,0.04704301075268817,0.7859636741876412,0.9328438557234563
sofa,age_group,30-39,diag_type,Medical,30-39 x Medical,0.8288106891832332,0.23692293487070454,0.03513812106299209,0.874556759606922,-0.02222676436624016,4084,0.04040156709108717,0.7919371982249475,0.8656434646563563
sofa,age_group,30-39,diag_type,Surgical,30-39 x Surgical,0.9169543536632144,0.5539470380434661,0.03154941038439576,1.373283600856659,-0.07335414977787849,248,0.04435483870967742,0.8069360181311017,0.9919088583713838
qsofa,race_cat,White,sex,Male,White x Male,0.7242237292200284,0.15600523907907105,0.07134932788351606,0.9907467994421074,0.00042861548152403617,36757,0.08224283809886553,0.7155795108713496,0.732898959938562
qsofa,race_cat,White,sex,Female,White x Female,0.7045768714438458,0.15441733068658825,0.07508790676003001,0.9688967642844349,0.001889479095659355,30296,0.08641404805914972,0.6949365419422461,0.7142500926041208
qsofa,race_cat,Other,sex,Male,Other x Male,0.747720351890784,0.15516723221797363,0.06596162010893114,1.0082058463943966,-0.0030679789978336203,3670,0.07602179836512261,0.722313168163451,0.7721173196081024
qsofa,race_cat,Other,sex,Female,Other x Female,0.729423553500461,0.16779878411217236,0.06964836189946141,1.1048004640780924,-0.0038022765338208836,2667,0.08098987626546682,0.6958485352991669,0.7612084995177975
qsofa,race_cat,Hispanic,sex,Male,Hispanic x Male,0.7069436099356966,0.17031606789302012,0.07988335399914234,1.0796577988412484,0.0073272849316573935,1927,0.09289050337311884,0.6708255005693943,0.7408462284518896
qsofa,race_cat,Hispanic,sex,Female,Hispanic x Female,0.7290778738758885,0.19040114285335377,0.080789850112738,1.2169783656989333,-0.005018176836933577,1638,0.09584859584859586,0.6913367843417996,0.7649809692960411
qsofa,race_cat,Black,sex,Male,Black x Male,0.7555752080243863,0.17363288044452715,0.0648237053923614,1.1696783404519573,-0.011694597059426756,4709,0.07581227436823104,0.7309855400528605,0.7783062723350911
qsofa,race_cat,Black,sex,Female,Black x Female,0.7118209865583542,0.1464221871180849,0.06736128331104368,0.9823615074841345,-0.0010289361978812056,4545,0.07678767876787679,0.6875366067388494,0.7351327738573469
qsofa,race_cat,Asian,sex,Male,Asian x Male,0.7048988321564368,0.15635822826136087,0.0836318573279233,0.9205578451863933,0.008701815584111525,582,0.09621993127147767,0.6471312852792631,0.7586039960959428
qsofa,race_cat,Asian,sex,Female,Asian x Female,0.7134981732776617,0.124073982580329,0.05678566855184681,0.8136143693218527,-0.005797334543708135,511,0.06262230919765166,0.6195322287412728,0.7971051776698661
qsofa,race_cat,White,age_group,60-69,White x 60-69,0.7285370253689164,0.16064157102444795,0.07078209628929467,1.0312719156362171,-0.0035305469115831517,15656,0.08194941236586613,0.7142569369439584,0.7412764696878217
qsofa,race_cat,White,age_group,70-79,White x 70-79,0.7050112627553338,0.1812763160438458,0.08738877909902341,1.1191187412291355,0.007105701249887492,15941,0.10281663634652782,0.6934282351591428,0.7175559090627711
qsofa,race_cat,White,age_group,18-29,White x 18-29,0.7575422394043528,0.07446369655140428,0.03319247238048186,0.5048577751876834,-0.00744467099112775,3006,0.031936127744510975,0.7162848452102616,0.800105871396402
qsofa,race_cat,White,age_group,80+,White x 80+,0.6791969855529388,0.2042811957286337,0.109557553144966,1.1408718128661821,0.024458460708757235,11704,0.13080997949419002,0.6645138808324556,0.6917586865547131
qsofa,race_cat,White,age_group,50-59,White x 50-59,0.7335508774144679,0.12014692932832814,0.05463271786516189,0.7732732064341661,-0.002606984527030405,11837,0.06015037593984962,0.7174933334433543,0.7484879380347853
qsofa,race_cat,White,age_group,40-49,White x 40-49,0.7406233272628863,0.09581435560099616,0.04244163781312613,0.6339093537240161,-0.004537669944501381,5621,0.04429816758583882,0.7122226493072549,0.7663209813865406
qsofa,race_cat,White,age_group,30-39,White x 30-39,0.731589226923988,0.08306736073991913,0.03920081018557284,0.5655868626339823,-0.004121861660089203,3289,0.03982973548190939,0.6928490266678214,0.766988551112506
qsofa,race_cat,Other,age_group,60-69,Other x 60-69,0.7379586542575952,0.18535938869404234,0.07790756230733,1.2399874151643921,-0.0032944137325091744,1339,0.09185959671396565,0.695205215709988,0.771229290693465
qsofa,race_cat,Other,age_group,70-79,Other x 70-79,0.7365694789081886,0.17302489032942528,0.07489337131894515,1.1527396278646982,-0.0015177186757670685,1189,0.08746846089150546,0.6913718355785315,0.7822900517515681
qsofa,race_cat,Other,age_group,18-29,Other x 18-29,0.7862567811934902,0.08131539672975989,0.027769422544119408,0.5617351287896769,-0.012730142914866141,568,0.02640845070422535,0.6556012471319126,0.8955807137829007
qsofa,race_cat,Other,age_group,80+,Other x 80+,0.6846938282344981,0.21711870364076769,0.11350452177992573,1.183852677416786,0.02863855980930452,726,0.13636363636363635,0.6302209407362365,0.7366964212474437
qsofa,race_cat,Other,age_group,50-59,Other x 50-59,0.7611652581580408,0.1652916458213263,0.06213304416793435,1.0790217718456787,-0.009919487812644928,1205,0.07219917012448132,0.7116444472911537,0.8016553178114398
qsofa,race_cat,Other,age_group,40-49,Other x 40-49,0.7797255409431519,0.14552442374495622,0.054754429422198034,0.9731197430406188,-0.01426597579449257,754,0.0623342175066313,0.7306260598067451,0.8343147055457565
qsofa,race_cat,Other,age_group,30-39,Other x 30-39,0.757055482743556,0.07810890371271922,0.036782637459011995,0.5358382244342326,-0.005114455151560067,566,0.037102473498233215,0.690396953423633,0.8229153882119167
qsofa,race_cat,Hispanic,age_group,60-69,Hispanic x 60-69,0.7000640888698997,0.1696685457392297,0.08021604283797351,1.0204609676547778,0.014144834480607452,666,0.09309309309309309,0.6313737899236856,0.7643745342771983
qsofa,race_cat,Hispanic,age_group,70-79,Hispanic x 70-79,0.7071096704484063,0.18542196155099383,0.09184246938302389,1.17569468883776,0.0025246887756273095,692,0.10838150289017341,0.6533524907881482,0.7556264483860051
qsofa,race_cat,Hispanic,age_group,18-29,Hispanic x 18-29,0.6186974789915967,0.05716504984242783,0.03416373458680532,0.3397790169057461,0.013342527465609537,246,0.032520325203252036,0.3473765432098765,0.8402237021857923
qsofa,race_cat,Hispanic,age_group,80+,Hispanic x 80+,0.6818613158763341,0.26229179829781407,0.13787295037398126,1.3694769288072863,0.036681653339756565,718,0.16991643454038996,0.6375334763178814,0.7291928748625783
qsofa,race_cat,Hispanic,age_group,50-59,Hispanic x 50-59,0.6969251336898395,0.1259192152179343,0.059998710637043845,0.8412463733927179,0.0012561644995613824,601,0.06655574043261231,0.6185995229180506,0.770472706263877
qsofa,race_cat,Hispanic,age_group,40-49,Hispanic x 40-49,0.8201669254658385,0.1521938006744637,0.033345770767080535,1.0606530295564238,-0.028563840047524387,382,0.03664921465968586,0.6944193763277416,0.9237973748535239
qsofa,race_cat,Hispanic,age_group,30-39,Hispanic x 30-39,0.789795918367347,0.15439605329311212,0.05036829882734022,1.161698353308435,-0.023535629227194918,260,0.057692307692307696,0.6942904180187058,0.873930451159785
qsofa,race_cat,Black,age_group,60-69,Black x 60-69,0.7013347702420495,0.16009817190944436,0.07715175598509091,1.0258786663701656,0.004885481168325059,2144,0.08908582089552239,0.6676438842955392,0.7338513094242032
qsofa,race_cat,Black,age_group,70-79,Black x 70-79,0.7119548063835244,0.20384283743301002,0.09682002118213033,1.2289951806015722,0.008218523986482706,1407,0.11584932480454868,0.6761664863616357,0.7459138343734338
qsofa,race_cat,Black,age_group,18-29,Black x 18-29,0.8413326110509209,0.0620100829403155,0.020596322473632668,0.4410668222559218,-0.010560225070215104,723,0.017980636237897647,0.7724897210433469,0.9108511244401537
qsofa,race_cat,Black,age_group,80+,Black x 80+,0.7158800000000001,0.24508461298856393,0.11163369247823401,1.5083150511472656,-0.008773207948004513,725,0.13793103448275862,0.6652694916064801,0.7663613798011979
qsofa,race_cat,Black,age_group,50-59,Black x 50-59,0.7339029828922357,0.15179881807374038,0.058624773198257644,1.039548062957338,-0.009122056154879613,2094,0.06685768863419293,0.6931974226114793,0.7789157949128177
qsofa,race_cat,Black,age_group,40-49,Black x 40-49,0.741854356452244,0.10833120315118866,0.0414726208275694,0.8169807363755176,-0.00688549510910947,1292,0.04489164086687306,0.677640523538961,0.8053105999729195
qsofa,race_cat,Black,age_group,30-39,Black x 30-39,0.7528504260946224,0.11101864523051272,0.04318310725048607,0.8078252624177475,-0.005639129781027458,871,0.04707233065442021,0.6834292008089969,0.8195972659441622
qsofa,race_cat,Asian,age_group,60-69,Asian x 60-69,0.727863436123348,0.14318232228013753,0.07132079802055502,0.870903087024811,0.007816113082994652,247,0.08097165991902834,0.6429109733543282,0.8070391414141413
qsofa,race_cat,Asian,age_group,70-79,Asian x 70-79,0.6742583732057416,0.1926195734943334,0.0908684501346739,1.196524543870563,0.016202643154017274,234,0.10683760683760683,0.557531295529484,0.7777817844632187
qsofa,race_cat,Asian,age_group,80+,Asian x 80+,0.6549249836921069,0.173036093418259,0.10854399987242941,0.7231400061207075,0.04559431117642018,167,0.12574850299401197,0.5630782428196222,0.7376966031722397
qsofa,race_cat,Asian,age_group,50-59,Asian x 50-59,0.7374260355029585,0.12900590519366126,0.0594875091425701,0.8122645619745614,-0.004754663898967865,181,0.06629834254143646,0.6022729964001516,0.844814420444174
qsofa,race_cat,Asian,age_group,40-49,Asian x 40-49,0.8734276729559749,0.19810857283222794,0.04529301959982695,1.2887555437007334,-0.0562022689187686,112,0.05357142857142857,0.7656446540880503,0.9424925658453694
qsofa,race_cat,White,diag_type,Cardiac,White x Cardiac,0.7182833902390288,0.1365661182203784,0.06397135676029493,0.8816413198535158,0.0016264575401849363,15493,0.07222616665590913,0.7034297249235286,0.7318660048781501
qsofa,race_cat,White,diag_type,Medical,White x Medical,0.7138084848759664,0.16247718270744763,0.07684745347166133,1.0140841405821346,0.0013424443805707953,47695,0.08914980605933535,0.7067605125770239,0.7206847331958934
qsofa,race_cat,White,diag_type,Surgical,White x Surgical,0.7102727310180035,0.1292291453928456,0.06236499475086805,0.853409960643893,0.0016477246088224956,3866,0.06983962752198655,0.6800663753323425,0.7385102240941644
qsofa,race_cat,Other,diag_type,Cardiac,Other x Cardiac,0.697356386533929,0.11407089791671546,0.05768115293828827,0.7524707495647216,0.004443793702416307,979,0.06332992849846783,0.6370641373997403,0.7561961528110305
qsofa,race_cat,Other,diag_type,Medical,Other x Medical,0.7492259330166158,0.1709777214286708,0.06924034370949796,1.118187577441181,-0.005826261726294274,5115,0.08093841642228738,0.729269147277873,0.7698353049321306
qsofa,race_cat,Other,diag_type,Surgical,Other x Surgical,0.6829399141630901,0.12712416073304103,0.0706864950705902,0.7395910275573638,0.016382562296420405,253,0.07905138339920949,0.5805374420752492,0.7869171759612935
qsofa,race_cat,Hispanic,diag_type,Cardiac,Hispanic x Cardiac,0.6961033686730507,0.13813330033837612,0.0711412812629813,0.8760717441703865,0.0070117956793098735,795,0.08050314465408805,0.6392354941235328,0.7546032910266646
qsofa,race_cat,Hispanic,diag_type,Medical,Hispanic x Medical,0.7245597358415049,0.19257732511642583,0.08229853053778792,1.217097662811627,-0.0006369356747512461,2695,0.09758812615955473,0.6938575420330283,0.7518219267465461
qsofa,race_cat,Black,diag_type,Cardiac,Black x Cardiac,0.7116576424628852,0.1529070666625082,0.06913824428969954,1.0390227489945107,-0.0010350940446163664,2284,0.07924693520140105,0.6721378269190095,0.7488152085709792
qsofa,race_cat,Black,diag_type,Medical,Black x Medical,0.7487812560451785,0.16722864379793384,0.06599022572881971,1.131165724336893,-0.010300637654376846,6263,0.07680025546862526,0.7300863430660293,0.7684330715629338
qsofa,race_cat,Black,diag_type,Surgical,Black x Surgical,0.6746924128503075,0.11913230110105336,0.05671587691780164,0.8230493131011773,-0.003791028328083118,709,0.06205923836389281,0.5819345375021746,0.7634174196787149
qsofa,race_cat,Asian,diag_type,Cardiac,Asian x Cardiac,0.6758360302049623,0.065734907840171,0.04271799604615007,0.4047742358275497,0.003747938493369074,215,0.04186046511627907,0.5336873905940016,0.8150353773584904
qsofa,race_cat,Asian,diag_type,Medical,Asian x Medical,0.7094986297519499,0.15826357780901457,0.07978710721914782,0.9578856683083137,0.007901202724580558,825,0.09212121212121212,0.6570993089519844,0.7572331409395395
qsofa,sex,Male,age_group,60-69,Male x 60-69,0.7374219104688962,0.1642370083345172,0.06985045420246605,1.0566293706019196,-0.003382564871385288,11535,0.0811443433029909,0.7227495694026166,0.7517192447298083
qsofa,sex,Male,age_group,70-79,Male x 70-79,0.7098162891902574,0.18103665293912743,0.08737919471368379,1.1278506610237071,0.007210533504489053,10530,0.102659069325736,0.6963701177782239,0.723835752542465
qsofa,sex,Male,age_group,18-29,Male x 18-29,0.7420266194562677,0.07569230660358826,0.03572143392483912,0.5067605721610249,-0.004060164692633587,2356,0.03522920203735144,0.6937908952674401,0.7850347297842024
qsofa,sex,Male,age_group,80+,Male x 80+,0.6862583072053979,0.2167006969145447,0.1135946890218284,1.2083924896035037,0.02381046980692919,6771,0.13675971053020233,0.6695318649188637,0.700935419406989
qsofa,sex,Male,age_group,50-59,Male x 50-59,0.740032607494197,0.12435297802935819,0.053612207907527104,0.8098210045453877,-0.003125677663396789,9177,0.05938759943336602,0.72110585415702,0.7610049188152538
qsofa,sex,Male,age_group,40-49,Male x 40-49,0.7788307375171781,0.11028475053065834,0.04075510155935749,0.7615715962192463,-0.010738993945887773,4566,0.043802014892685065,0.7520692136615296,0.8038863655048897
qsofa,sex,Male,age_group,30-39,Male x 30-39,0.7497588002551846,0.1024218414665447,0.04254830652632684,0.7156535578031444,-0.006867328991097717,2710,0.04538745387453875,0.7124793639140091,0.787880231097489
qsofa,sex,Female,age_group,60-69,Female x 60-69,0.7069428723484188,0.15906023908038533,0.0755208668172442,1.010210613067159,0.001629647764141387,8517,0.08723729012563108,0.6899780303806408,0.7240646618210802
qsofa,sex,Female,age_group,70-79,Female x 70-79,0.7049483053679382,0.18533784377466167,0.08766834713611368,1.161346903653281,0.0020251632233893174,8932,0.1035602328705777,0.6878451350270406,0.7210538600178281
qsofa,sex,Female,age_group,18-29,Female x 18-29,0.8035867091488393,0.07041903165769973,0.02499980073496889,0.4723594216486144,-0.010702915190325596,2247,0.022251891410769914,0.7448288284471143,0.8530221888445796
qsofa,sex,Female,age_group,80+,Female x 80+,0.6765580218025555,0.20277988969556232,0.1091089081865624,1.1385293184670644,0.02356736151251057,7267,0.1301775147928994,0.6605316839960916,0.6929335892202076
qsofa,sex,Female,age_group,50-59,Female x 50-59,0.7258845708276513,0.1308296925835733,0.05922035338887268,0.8669428509759867,-0.0066574318062655735,6740,0.06617210682492582,0.705413669734607,0.7486417707535676
qsofa,sex,Female,age_group,40-49,Female x 40-49,0.7170687469953236,0.099346556547592,0.04596348228740565,0.6445707435643108,-0.0010361911456504141,3593,0.04842749791260785,0.6801404030978689,0.7513971344474658
qsofa,sex,Female,age_group,30-39,Female x 30-39,0.7292099948006239,0.07430323393543173,0.03748319657178059,0.49745164123891494,-0.0019130728697272642,2361,0.03727234222786955,0.6810507111742642,0.7738172274403374
