score,threshold,axis,group,sensitivity,specificity,ppv,npv,n,prevalence,positive_rate
apache2,15,race_cat,White,0.8865449388406311,0.5393809128360445,0.1502298056415032,0.9810454612764697,67054,0.08412622662331852,0.4964506218868375
apache2,15,race_cat,Other,0.8951612903225806,0.5881045975047,0.15557112824106517,0.9851130833094761,6347,0.07814715613675752,0.4496612572869072
apache2,15,race_cat,Hispanic,0.8720238095238095,0.5924434809538557,0.18210068365444376,0.9780163599182005,3565,0.09424964936886396,0.45133239831697053
apache2,15,race_cat,Black,0.8753541076487252,0.5659649122807018,0.14275814275814275,0.9821392327988634,9256,0.07627484874675886,0.46769662921348315
apache2,15,race_cat,Asian,0.9204545454545454,0.5373134328358209,0.14835164835164835,0.9872029250457038,1093,0.08051235132662397,0.49954254345837146
apache2,15,sex,Male,0.879301489470981,0.5566729903316495,0.15004382120946538,0.981067472306143,47645,0.0817294574456921,0.47895896736278726
apache2,15,sex,Female,0.8932384341637011,0.5371916770015158,0.1520828073718758,0.9818658069715898,39657,0.08502912474468569,0.49940741861462035
apache2,15,age_group,60-69,0.8802858844550328,0.5321939802971752,0.1467288791819716,0.9798577011724622,20052,0.08373229603032116,0.5023439058448035
apache2,15,age_group,70-79,0.9072781655034895,0.41398865784499056,0.15103734439834024,0.9749089437474706,19463,0.10306735857781431,0.6191234650362226
apache2,15,age_group,18-29,0.8646616541353384,0.776386404293381,0.1031390134529148,0.9948424068767908,4605,0.028881650380021717,0.24212812160694897
apache2,15,age_group,80+,0.9022957821676455,0.36434618229637544,0.17932937181663838,0.9603552859618717,14040,0.1334045584045584,0.6712250712250712
apache2,15,age_group,50-59,0.8546922300706358,0.6368995779460039,0.13515238551140896,0.9850792663972645,15918,0.062256564895087324,0.39370523935167734
apache2,15,age_group,40-49,0.8422459893048129,0.7295492487479132,0.13011152416356878,0.9897212543554007,8161,0.045827717191520644,0.2966548217130254
apache2,15,age_group,30-39,0.8151658767772512,0.7728674203494348,0.13469068128425998,0.9897341405633061,5076,0.04156816390858944,0.2515760441292356
apache2,15,diag_type,Cardiac,0.8794425087108014,0.5279581037586601,0.12728189611699445,0.982438331133895,19766,0.07259941313366387,0.5016189416169179
apache2,15,diag_type,Medical,0.8880787458986511,0.5566217801670549,0.16136724960254373,0.9810499675935928,62593,0.08764558337194255,0.4823542568657837
apache2,15,diag_type,Surgical,0.8757225433526011,0.5190889370932755,0.12023809523809524,0.9823481116584565,4956,0.06981436642453591,0.5084745762711864
apache2,20,overall,overall,0.7024907114352552,0.7885018988606836,0.23167687769457682,0.9668811274509804,87315,0.08322739506384928,0.2523621370898471
apache2,20,race_cat,White,0.700939549725226,0.7870809112077247,0.23217850851438637,0.9662761874300336,67054,0.08412622662331852,0.25397440868553706
apache2,20,race_cat,Other,0.7157258064516129,0.793368654930781,0.22698209718670076,0.9705205937696006,6347,0.07814715613675752,0.24641562943122736
apache2,20,race_cat,Hispanic,0.7083333333333334,0.806751316196965,0.27610208816705334,0.9637439881613022,3565,0.09424964936886396,0.2417952314165498
apache2,20,race_cat,Black,0.7096317280453258,0.7890058479532164,0.217353579175705,0.9705078405984751,9256,0.07627484874675886,0.2490276577355229
apache2,20,race_cat,Asian,0.6477272727272727,0.7840796019900498,0.20802919708029197,0.9621489621489622,1093,0.08051235132662397,0.2506861848124428
apache2,20,sex,Male,0.697226502311248,0.7901076546821787,0.2281896116994453,0.9670182113184324,47645,0.0817294574456921,0.24972190156364782
apache2,20,sex,Female,0.7084816132858838,0.7865233567589913,0.23571780957079427,0.9667027979134205,39657,0.08502912474468569,0.25556648258819376
apache2,20,age_group,60-69,0.6968433591423466,0.7737440809884069,0.21963581753332082,0.9654329371816638,20052,0.08373229603032116,0.2656592858567724
apache2,20,age_group,70-79,0.7352941176470589,0.7197112905997594,0.23162688442211055,0.9594501718213059,19463,0.10306735857781431,0.3271849149668602
apache2,20,age_group,18-29,0.8120300751879699,0.8955724508050089,0.18782608695652173,0.9937965260545906,4605,0.028881650380021717,0.1248642779587405
apache2,20,age_group,80+,0.6759209823812066,0.7259801101339689,0.2752173913043478,0.9356991525423729,14040,0.1334045584045584,0.32763532763532766
apache2,20,age_group,50-59,0.6892028254288597,0.8254840222415757,0.20772506082725062,0.9756136183689628,15918,0.062256564895087324,0.20655861289106672
apache2,20,age_group,40-49,0.6871657754010695,0.8735071272633878,0.2069243156199678,0.9830900419135713,8161,0.045827717191520644,0.15218723195686804
apache2,20,age_group,30-39,0.6919431279620853,0.899486125385406,0.22992125984251968,0.9853636568340464,5076,0.04156816390858944,0.1250985027580772
apache2,20,diag_type,Cardiac,0.7045296167247387,0.7568599639954176,0.18489392831016827,0.970345502867534,19766,0.07259941313366387,0.276636648790853
apache2,20,diag_type,Medical,0.7025154939846883,0.7994641637627611,0.251796681040115,0.9654873432444435,62593,0.08764558337194255,0.24453213618136213
