score,axis,group,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
apache2,age_group,80+,0.642938173567782,0.25838711534424796,0.1427412504923421,0.7862479392861491,0.08488545676701996,248,0.17338709677419356,0.5588293551358897,0.7254417386707096
apache2,age_group,30-39,0.897887323943662,0.1625,0.02883273243831588,0.6906875061933927,-0.01999063732298105,73,0.0273972602739726,0.8212797619047619,0.9583333333333334
apache2,diag_type,Medical,0.7608615182858472,0.2287226601646546,0.08235147746342757,0.946803045679669,0.006927238008818157,1029,0.09912536443148688,0.7176443974302942,0.8016216574904154
apache2,diag_type,Cardiac,0.7252109704641351,0.2700613252614543,0.06037363045293095,1.027421572303464,-0.02083584616387718,170,0.07058823529411765,0.5335512431893178,0.8779350846718804
apache2,diag_type,Surgical,0.9722222222222222,0.8333333333333333,0.04358698024291168,2.5873695463609043,-0.1619738500095216,39,0.07692307692307693,0.888888888888889,1.0
news2,race_cat,White,0.7479031482816632,0.25844434530576066,0.07970780432265595,1.0092919500490496,0.002540988792011367,971,0.09783728115345006,0.6970953689736156,0.7976351190476189
news2,race_cat,Black,0.9657142857142857,0.4158119658119658,0.032960899092071415,1.1520318535399972,-0.0679517482592698,110,0.045454545454545456,0.9282058001397624,0.9937694704049844
news2,race_cat,Hispanic,0.8508474576271187,0.40963154492566256,0.05983722002492035,1.0344107859779383,-0.025575604934837598,64,0.078125,0.6395534494535519,0.9755074160811865
news2,race_cat,Other,0.6447811447811448,0.21328188446832513,0.10172062722049782,0.8646802610052551,0.01171833273643702,75,0.12,0.4576367721252891,0.8395404228855722
news2,sex,Female,0.775511111111111,0.27565345501117217,0.0802320504756432,1.1323677750530503,-0.0074949972562136785,500,0.1,0.7053309907043448,0.8376847402364416
news2,sex,Male,0.7393286918611117,0.25715580921595094,0.07456730090204064,0.9074314026333428,0.004715343435053268,738,0.09078590785907859,0.6759499111053523,0.792716377098168
news2,age_group,70-79,0.7214685615848405,0.30310946223637214,0.09590298316690601,1.2195749855070392,-0.014622871976614188,294,0.12244897959183673,0.6275839739304813,0.8065207990773052
news2,age_group,18-29,0.5984848484848485,0.03333333333333333,0.024571273790503015,-0.014603965947537765,0.013602808149919543,67,0.014925373134328358,0.4847261072261072,0.7045454545454546
news2,age_group,60-69,0.6936197916666667,0.1422223042812522,0.05868154139485526,0.6019957984758593,0.0048546485614352625,256,0.0625,0.567071921361137,0.8247896989374262
news2,age_group,40-49,0.8132352941176471,0.1984126984126984,0.0406994049363155,0.7769751750717716,-0.023560274155906433,89,0.0449438202247191,0.510284090909091,0.9885057471264368
news2,age_group,50-59,0.8280612244897959,0.3897201442921164,0.055562482032233296,0.9231389337821269,-0.027411416612623918,211,0.07109004739336493,0.7099780119929144,0.9282642049443312
news2,age_group,80+,0.7608054452637549,0.3949593685592801,0.13149243983031164,1.7132685778130972,0.013115744129458679,248,0.17338709677419356,0.676795176948797,0.8312629994526546
news2,age_group,30-39,0.8169014084507042,0.12333333333333332,0.03186863678575315,0.47213861746063374,-0.002236846982192252,73,0.0273972602739726,0.6453125000000001,0.9718309859154929
news2,diag_type,Medical,0.7508830932588786,0.24924918418647174,0.08102344286833903,0.950174192150236,0.00889281577146743,1029,0.09912536443148688,0.7052076037198195,0.7970515186296477
news2,diag_type,Cardiac,0.7125527426160336,0.20514567316502252,0.06124430269843841,0.7444674078303561,-0.0038462384419565288,170,0.07058823529411765,0.5470843062395102,0.8555736607142856
news2,diag_type,Surgical,1.0,1.0,0.03492408034031272,2.048507801839438,-0.11874301247646064,39,0.07692307692307693,0.9999999999999999,1.0
